1f9d4-1f3fd-200d-2640,woman_medium_skin_tone_beard
1f9d4-1f3fd,person_medium_skin_tone_beard
1f9d4-1f3fc-200d-2642,man_medium-light_skin_tone_beard
1f9d4-1f3fc-200d-2640,woman_medium-light_skin_tone_beard
1f9d4-1f3fc,person_medium-light_skin_tone_beard
1f9d4-1f3fb-200d-2642,man_light_skin_tone_beard
1f9d4-1f3fb-200d-2640,woman_light_skin_tone_beard
1f9d4-1f3fb,person_light_skin_tone_beard
1f9d4,person_beard
1f9d3-1f3ff,older_person_dark_skin_tone
1f9d3-1f3fe,older_person_medium-dark_skin_tone
1f9d3-1f3fd,older_person_medium_skin_tone
1f9d3-1f3fc,older_person_medium-light_skin_tone
1f9d3-1f3fb,older_person_light_skin_tone
1f9d3,older_person
1f9d2-1f3ff,child_dark_skin_tone
1f9d2-1f3fe,child_medium-dark_skin_tone
1f9d2-1f3fd,child_medium_skin_tone
1f9d2-1f3fc,child_medium-light_skin_tone
1f9d2-1f3fb,child_light_skin_tone
1f9d2,child
1f9d1-200d-2708,pilot
1f9d1-200d-2696,judge
1f9d1-200d-2695,health_worker
1f9d1-200d-1f9bd,person_in_manual_wheelchair
1f9d1-200d-1f9bc,person_in_motorized_wheelchair
1f9d1-200d-1f9b3,person_white_hair
1f9d1-200d-1f9b2,person_bald
1f9d1-200d-1f9b1,person_curly_hair
1f9d1-200d-1f9b0,person_red_hair
1f9d1-200d-1f9af,person_with_white_cane
1f9d1-200d-1f91d-200d-1f9d1,people_holding_hands
1f9d1-200d-1f692,firefighter
1f9d1-200d-1f680,astronaut
1f9d1-200d-1f52c,scientist
1f9d1-200d-1f527,mechanic
1f9d1-200d-1f4bc,office_worker
1f9d1-200d-1f4bb,technologist
1f9d1-200d-1f3ed,factory_worker
1f9d1-200d-1f3eb,teacher
1f9d1-200d-1f3a8,artist
1f9d1-200d-1f3a4,singer
1f9d1-200d-1f393,student
1f9d1-200d-1f384,mx_claus
1f9d1-200d-1f37c,person_feeding_baby
1f9d1-200d-1f373,cook
1f9d1-200d-1f33e,farmer
1f9d1-1f3ff-200d-2764-200d-1f9d1-1f3fe,couple_with_heart_person_person_dark_skin_tone_medium-dark_skin_tone
1f9d1-1f3ff-200d-2764-200d-1f9d1-1f3fd,couple_with_heart_person_person_dark_skin_tone_medium_skin_tone
1f9d1-1f3ff-200d-2764-200d-1f9d1-1f3fc,couple_with_heart_person_person_dark_skin_tone_medium-light_skin_tone
